id,ndex,species,forme,type1,type2,ability1,ability2,abilityH,hp,attack,defense,spattack,spdefense,speed,total,weight,height,dex1,dex2,class,percent-male,percent-female,pre-evolution,egg-group1,egg-group2
829,74,Geodude,Geodude (Alola Form),Rock,Electric,Magnet Pull,Sturdy,Galvanize,40,80,100,30,30,20,300,44.8 lbs.,"1'04""",Its body is a magnetic stone. Iron sand attaches firmly to the portions of its body that are particularly magnetic.,"If you accidentally step on a Geodude sleeping on the ground, you�۪ll hear a crunching sound and feel a shock ripple through your entire body.",Rock Pok̩mon,0.5,0.5,,Mineral,
830,75,Graveler,Graveler (Alola Form),Rock,Electric,Magnet Pull,Sturdy,Galvanize,55,95,115,45,45,35,390,242.5 lbs.,"3'03""","Its preferred food is dravite. After it has eaten this mineral, crystals form inside the Pok̩mon, rising to the surface of part of its body.",They eat rocks and often get into a scrap over them. The shock of Graveler smashing together causes a flash of light and a booming noise.,Rock Pok̩mon,0.5,0.5,Geodude (Alola Form),Mineral,
831,76,Golem,Golem (Alola Form),Rock,Electric,Magnet Pull,Sturdy,Galvanize,80,120,130,55,65,45,495,696.7 lbs.,"5'07""","It fires rocks charged with electricity. Even if the rock isn�۪t fired that accurately, just grazing an opponent will cause numbness and fainting.","Because it can�۪t fire boulders at a rapid pace, it�۪s been known to seize nearby Geodude and fire them from its back.",Megaton Pok̩mon,0.5,0.5,Graveler (Alola Form),Mineral,
832,80,Slowbro,Slowbro (Mega Slowbro),Water,Psychic,Shell Armor,,,95,75,180,130,80,30,590,264.6 lbs.,"6'07""","All the energy from Mega Evolution poured into the Shellder on its tail, leaving Slowpoke to be swallowed whole.","When bathed in the energy of Mega Evolution, Shellder converts into impregnable armor. There is virtually no change in Slowpoke.",Hermit Crab Pok̩mon,0.5,0.5,Slowpoke,Monster,Water 1
833,88,Grimer,Grimer (Alola Form),Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,80,80,50,40,50,25,325,92.6 lbs.,"2'04""","A Grimer, which had been brought in to solve a problem with garbage, developed over time into this form.","The crystals on Grimer�۪s body are lumps of toxins. If one falls off, lethal poisons leak out.",Sludge Pok̩mon,0.5,0.5,,Amorphous,
834,89,Muk,Muk (Alola Form),Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,105,105,75,65,100,50,500,114.6 lbs.,"3'03""","The garbage it eats causes continuous chemical changes in its body, which produce its exceedingly vivid coloration.","While it�۪s unexpectedly quiet and friendly, if it�۪s not fed any trash for a while, it will smash its Trainer�۪s furnishings and eat up the fragments.",Sludge Pok̩mon,0.5,0.5,Grimer,Amorphous,
835,94,Gengar,Gengar (Mega Gengar),Ghost,Poison,Shadow Tag,,,60,65,80,170,95,130,600,89.3 lbs.,"4'07""",Gengar�۪s relationships are warped. It has no interest in opponents unless it perceives them as prey.,"The energy of Mega Evolution awakened it. It sinks into another dimension, where it keeps a patient watch for its chance to attack.",Shadow Pok̩mon,0.5,0.5,Haunter,Amorphous,
836,103,Exeggutor,Exeggutor (Alola Form),Grass,Dragon,Frisk,Frisk,Harvest,95,105,85,125,75,45,530,916.2 lbs.,"35'09""","Alola is the best environment for this Pok̩mon. Local people take pride in its appearance, saying this is how Exeggutor ought to look.","As it grew taller and taller, it outgrew its reliance on psychic powers, while within it awakened the power of the sleeping dragon.",Coconut Pok̩mon,0.5,0.5,Exeggcute,Grass,
837,105,Marowak,Marowak (Alola Form),Fire,Ghost,Cursed Body,Lightning Rod,Rock Head,60,80,110,50,80,45,425,75.0 lbs.,"3'03""",The bones it possesses were once its mother�۪s. Its mother�۪s regrets have become like a vengeful spirit protecting this Pok̩mon.,Its custom is to mourn its lost companions. Mounds of dirt by the side of the road mark the graves of the Marowak.,Bone Keeper Pok̩mon,0.5,0.5,Cubone,Monster,
838,115,Kangaskhan,Kangaskhan (Mega Kangaskhan),Normal,,Parental Bond,,,105,125,100,60,100,100,590,220.5 lbs.,"7'03""",Mega Kangaskhan�۪s strength derives from the mother�۪s happiness about her child�۪s growth. Watching it grow up keeps her spirits high.,"Thanks to Mega Evolution, its child grows. But as the child is good only at fighting and nothing else, its mother feels uneasy about its future.",Parent Pok̩mon,0,1,,Monster,
839,127,Pinsir,Pinsir (Mega Pinsir),Bug,,Aerilate,,,65,155,120,65,90,105,600,130.1 lbs.,"5'07""",The influence of Mega Evolution leaves it in a state of constant excitement. It pierces enemies with its two large horns before shredding them.,"Bathed in the energy of Mega Evolution, its wings become unusually developed. It flies at speeds of approximately 30 mph.",Stag Beetle Pok̩mon,0.5,0.5,,Bug,
840,130,Gyarados,Gyarados (Mega Gyarados),Water,Flying,Mold Breaker,,,95,155,109,70,130,81,640,672.4 lbs.,"21'04""","Mega Evolution also affects its brain, leaving no other function except its destructive instinct to burn everything to cinders.","It jets water from the orifices on its sides, streaking above the water surface at supersonic speed.",Atrocious Pok̩mon,0.5,0.5,Magikarp,Water 2,Dragon
841,142,Aerodactyl,Aerodactyl (Mega Aerodactyl),Rock,Flying,Tough Claws,,,80,135,85,70,95,150,615,174.2 lbs.,"6'11""",Part of its body has become stone. Some scholars claim that this is Aerodactyl�۪s true appearance.,"When it Mega Evolves, it becomes more vicious than ever before. Some say that�۪s because its excess of power is causing it pain.",Fossil Pok̩mon,0.875,0.125,,Flying,
842,150,Mewtwo,Mewtwo (Mega Mewtwo X),Psychic,Fighting,Steadfast,,,106,190,100,154,100,130,780,280.0 lbs.,"7'07""",,,Genetic Pok̩mon,,,,Undiscovered,
843,150,Mewtwo,Mewtwo (Mega Mewtwo Y),Psychic,,Insomnia,,,106,150,70,194,120,140,780,72.8 lbs.,"4'11""",,,Genetic Pok̩mon,,,,Undiscovered,
844,181,Ampharos,Ampharos (Mega Ampharos),Electric,,Mold Breaker,,,90,95,105,165,110,45,610,135.6 lbs.,"4'07""",,,Light Pok̩mon,0.5,0.5,Flaaffy,Monster,Field
845,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
846,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
847,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
848,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
849,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
850,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
851,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
852,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
853,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
854,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
855,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
856,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
857,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
858,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
859,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
860,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
861,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
862,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
863,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
864,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
865,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
866,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
867,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
868,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
869,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
870,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
871,201,Unown,Unown (One form),Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",,,Symbol Pok̩mon,,,,Undiscovered,
872,208,Steelix,Steelix (Mega Steelix),Steel,Ground,Sand Force,,,75,125,230,55,95,30,610,1631.4 lbs.,"34'05""",,,Iron Snake Pok̩mon,0.5,0.5,Onix,Mineral,
873,212,Scizor,Scizor (Mega Scizor),Bug,Steel,Technician,,,70,150,140,65,100,75,600,275.6 lbs.,"6'07""",The excess energy that bathes this Pok̩mon keeps it in constant danger of overflow. It can�۪t sustain a battle over long periods of time.,"Due to the effects of Mega Evolution, its pincers have taken on a more diabolical form, ripping anything they pinch to shreds.",Pincer Pok̩mon,0.5,0.5,Scyther,Bug,
874,214,Heracross,Heracross (Mega Heracross),Bug,Fighting,Skill Link,,,80,185,115,40,105,75,600,137.8 lbs.,"5'07""",,,Single Horn Pok̩mon,0.5,0.5,,Bug,
875,229,Houndoom,Houndoom (Mega Houndoom),Dark,Fire,Solar Power,,,75,90,90,140,90,115,600,109.1 lbs.,"6'03""",,,Dark Pok̩mon,0.5,0.5,Houndour,Field,
876,248,Tyranitar,Tyranitar (Mega Tyranitar),Rock,Dark,Sand Stream,,,100,164,150,95,120,71,700,562.2 lbs.,"8'02""",,,Armor Pok̩mon,0.5,0.5,Pupitar,Monster,
877,254,Sceptile,Sceptile (Mega Sceptile),Grass,,Lightning Rod,,,70,110,75,145,85,145,630,121.7 lbs.,"6'03""",,,Forest Pok̩mon,0.875,0.125,Grovyle,Monster,Dragon
878,257,Blaziken,Blaziken (Mega Blaziken),Fire,Fighting,Speed Boost,,,80,160,80,130,80,100,630,114.6 lbs.,"6'03""",,,Blaze Pok̩mon,0.875,0.125,Combusken,Field,
879,260,Swampert,Swampert (Mega Swampert),Water,Ground,Swift Swim,,,100,150,110,95,110,70,635,224.9 lbs.,"6'03""",,,Mud Fish Pok̩mon,0.875,0.125,Marshtomp,Monster,Water 1
880,282,Gardevoir,Gardevoir (Mega Gardevoir),Psychic,Fairy,Pixilate,,,68,85,65,165,135,100,618,106.7 lbs.,"5'03""",,,Embrace Pok̩mon,0.5,0.5,Kirlia,Amorphous,
881,302,Sableye,Sableye (Mega Sableye),Dark,Ghost,Magic Bounce,,,50,85,125,85,115,20,480,354.9 lbs.,"1'08""","The jewel from its chest, which has grown gigantic due to the effects of Mega Evolution, can turn back any attack.","Supporting a giant heavy jewel, it can�۪t change direction very nimbly and is vulnerable to attack from behind.",Darkness Pok̩mon,0.5,0.5,,Human-Like,
882,303,Mawile,Mawile (Mega Mawile),Steel,Fairy,Huge Power,,,50,105,125,55,95,50,480,51.8 lbs.,"3'03""",,,Deceiver Pok̩mon,0.5,0.5,,Field,Fairy
883,306,Aggron,Aggron (Mega Aggron),Steel,Rock,Filter,,,70,140,230,60,80,50,630,870.8 lbs.,"7'03""",,,Iron Armor Pok̩mon,0.5,0.5,Lairon,Monster,
884,308,Medicham,Medicham (Mega Medicham),Fighting,Psychic,Pure Power,,,60,100,85,80,85,100,510,69.4 lbs.,"4'03""",,,Meditate Pok̩mon,0.5,0.5,Meditite,Human-Like,
885,310,Manectric,Manectric (Mega Manectric),Electric,,Intimidate,,,70,75,80,135,80,135,575,97.0 lbs.,"5'11""",,,Discharge Pok̩mon,0.5,0.5,Electrike,Field,
886,319,Sharpedo,Sharpedo (Mega Sharpedo),Water,Dark,Strong Jaw,,,70,140,70,110,65,105,560,287.3 lbs.,"8'02""","The spines sprouting from its head are transformed fangs. If they�۪re injured or broken off, the spines will regenerate countless times.","As a consequence of Mega Evolution, its combative instincts exploded. The yellow marks it bears are scars from a long history of battles.",Brutal Pok̩mon,0.5,0.5,Carvanha,Water 2,
887,323,Camerupt,Camerupt (Mega Camerupt),Fire,Ground,Sheer Force,,,70,120,100,145,105,20,560,706.6 lbs.,"8'02""",,,Eruption Pok̩mon,0.5,0.5,Numel,Field,
888,334,Altaria,Altaria (Mega Altaria),Dragon,Fairy,Pixilate,,,75,110,110,110,105,80,590,45.4 lbs.,"4'11""",,,Humming Pok̩mon,0.5,0.5,Swablu,Flying,Dragon
889,351,Castform,Castform (Sunny Form),Fire,,Forecast,,,70,70,70,70,70,70,420,1.8 lbs.,"1'00""","This is the form Castform takes on the brightest of days. Its skin is unexpectedly hot to the touch, so approach with care.",This is Castform�۪s form when basking in fair weather. Its body is warm and toasty.,Weather Pok̩mon,0.5,0.5,,Fairy,Amorphous
890,351,Castform,Castform (Rainy Form),Water,,Forecast,,,70,70,70,70,70,70,420,1.8 lbs.,"1'00""","This is the form Castform takes when soaked with rain. When its body is compressed, water will seep out as if from a sponge.",This is Castform�۪s form during a downpour of rain. Its body retains moisture and gets slippery.,Weather Pok̩mon,0.5,0.5,,Fairy,Amorphous
891,351,Castform,Castform (Snowy Form),Ice,,Forecast,,,70,70,70,70,70,70,420,1.8 lbs.,"1'00""","This is the form Castform takes when covered in snow. Its body becomes an ice-like material, with a temperature near 23 degrees Fahrenheit.",This is Castform�۪s form when caught in a hailstorm. Its cold skin is as smooth as ice.,Weather Pok̩mon,0.5,0.5,,Fairy,Amorphous
892,354,Banette,Banette (Mega Banette),Ghost,,Prankster,,,64,165,75,93,83,75,555,28.7 lbs.,"3'11""",,,Marionette Pok̩mon,0.5,0.5,Shuppet,Amorphous,
893,359,Absol,Absol (Mega Absol),Dark,,Magic Bounce,,,65,150,60,115,60,115,565,108.0 lbs.,"3'11""","When this Pok̩mon whips the winglike fur on its back as though beating its wings, it sends an intimidating aura flying at its opponents.","As the energy of Mega Evolution fills it, its fur bristles. What you see on its back are not true wings, and this Pok̩mon isn�۪t able to fly.",Disaster Pok̩mon,0.5,0.5,,Field,
894,362,Glalie,Glalie (Mega Glalie),Ice,,Refrigerate,,,80,120,80,120,80,100,580,772.1 lbs.,"6'11""","The excess energy from Mega Evolution spilled over from its mouth, breaking its jaw. It spews endless blizzards.","It envelops prey in its mouth, freezing them instantly. But its jaw is dislocated, so it�۪s unable to eat them.",Face Pok̩mon,0.5,0.5,Snorunt,Fairy,Mineral
895,373,Salamence,Salamence (Mega Salamence),Dragon,Flying,Aerilate,,,95,145,130,120,90,120,700,248.2 lbs.,"5'11""","Anyone standing in its path gets sliced right in two, while this Pok̩mon continues its flight without interruption.","Mega Evolution fuels its brutality, and it may even turn on the Trainer who raised it. It�۪s been dubbed ���the blood-soaked crescent.�۝",Dragon Pok̩mon,0.5,0.5,Shelgon,Dragon,
896,376,Metagross,Metagross (Mega Metagross),Steel,Psychic,Tough Claws,,,80,145,150,105,110,110,700,2078.7 lbs.,"8'02""","This form results from one Metagross, one Metang, and two Beldum linking up.",Mega Evolution stimulated its brain. It emerged as a ruthless Pok̩mon that will clutch at any means of ensuring its victories.,Iron Leg Pok̩mon,,,Metang,Mineral,
897,380,Latias,Latias (Mega Latias),Dragon,Psychic,Levitate,,,80,100,120,140,150,110,700,114.6 lbs.,"5'11""",,,Eon Pok̩mon,,,,Undiscovered,
898,381,Latios,Latios (Mega Latios),Dragon,Psychic,Levitate,,,80,130,100,160,120,110,700,154.3 lbs.,"7'07""",,,Eon Pok̩mon,,,,Undiscovered,
899,383,Kyogre,Kyogre (Primal Reversion),Water,,Primordial Sea,,,100,150,90,180,160,90,770,948.0 lbs.,"32'02""",,,Sea Basin Pok̩mon,,,,Undiscovered,
900,382,Groudon,Groudon (Primal Reversion),Ground,Fire,Desolate Land,,,100,180,160,150,90,90,770,2204.0 lbs.,"16'05""",,,Continent Pok̩mon,,,,Undiscovered,
901,384,Rayquaza,Rayquaza (Mega Rayquaza),Dragon,Flying,Delta Stream,,,105,180,100,180,100,115,780,864.2 lbs.,"35'05""",,,Sky High Pok̩mon,,,,Undiscovered,
902,386,Deoxys,Deoxys (Attack Forme),Psychic,,Pressure,,,50,180,20,180,20,150,600,134.0 lbs.,"5'07""",,,DNA Pok̩mon,,,,Undiscovered,
903,386,Deoxys,Deoxys (Defense Forme),Psychic,,Pressure,,,50,70,160,70,160,90,600,134.0 lbs.,"5'07""",,,DNA Pok̩mon,,,,Undiscovered,
904,386,Deoxys,Deoxys (Speed Forme),Psychic,,Pressure,,,50,95,90,95,90,180,600,134.0 lbs.,"5'07""",,,DNA Pok̩mon,,,,Undiscovered,
905,412,Burmy,Burmy (Sandy Cloak),Bug,,Shed Skin,,Overcoat,40,29,45,29,45,36,224,7.5 lbs.,"0'08""",,,Bagworm Pok̩mon,0.5,0.5,,Bug,
906,412,Burmy,Burmy (Trash Cloak),Bug,,Shed Skin,,Overcoat,40,29,45,29,45,36,224,7.5 lbs.,"0'08""",,,Bagworm Pok̩mon,0.5,0.5,,Bug,
907,413,Wormadam,Wormadam (Sandy Cloak),Bug,Ground,Anticipation,,Overcoat,60,79,105,59,85,36,424,14.3 lbs.,"1'08""",,,Bagworm Pok̩mon,0,1,Burmy,Bug,
908,413,Wormadam,Wormadam (Trash Cloak),Bug,Steel,Anticipation,,Overcoat,60,69,95,69,95,36,424,14.3 lbs.,"1'08""",,,Bagworm Pok̩mon,0,1,Burmy,Bug,
909,421,Cherrim,Cherrim (Sunshine Form),Grass,,Flower Gift,,,70,60,70,87,78,85,450,20.5 lbs.,"1'08""",,,Blossom Pok̩mon,0.5,0.5,Cherubi,Fairy,Grass
910,422,Shellos,Shellos (East Sea),Water,,Sticky Hold,Storm Drain,Sand Force,76,48,48,57,62,34,325,13.9 lbs.,"1'00""","Shellos lives in the sea and feasts on plankton. The lovelier the ocean where Shellos resides, the more vibrant its color becomes.",The difference in color from one Shellos to another seems to be a result of their diet. No large changes can be seen in their capabilities.,Sea Slug Pok̩mon,0.5,0.5,,Water 1,Amorphous
911,423,Gastrodon,Gastrodon (East Sea),Water,Ground,Sticky Hold,Storm Drain,Sand Force,111,83,68,92,82,39,475,65.9 lbs.,"2'11""",A team of researchers is scouring the oceans of the world in search of a Gastrodon in a color never seen before.,Experiments are being conducted to discover what happens when a Gastrodon is raised in a location other than the sea where it was born.,Sea Slug Pok̩mon,0.5,0.5,Shellos (East Sea),Water 1,Amorphous
912,428,Lopunny,Lopunny (Mega Lopunny),Normal,Fighting,Scrappy,,,65,136,94,54,96,135,580,62.4 lbs.,"4'03""",,,Rabbit Pok̩mon,0.5,0.5,Buneary,Field,Human-Like
913,445,Garchomp,Garchomp (Mega Garchomp),Dragon,Ground,Sand Force,,,108,170,115,120,95,92,700,209.4 lbs.,"6'03""","Excess energy melted its arms and wings, transforming them into giant scythes.","Its vaunted wings become scythes, sending it mad with rage. It swings its scythes wildly and slices the ground to pieces.",Mach Pok̩mon,0.5,0.5,Gabite,Monster,Dragon
914,448,Lucario,Lucario (Mega Lucario),Fighting,Steel,Adaptability,,,70,145,88,140,70,112,625,126.8 lbs.,"4'03""",Black streaks all over its body show where its auras and the energy of Mega Evolution intermingled and raced through it.,It readies itself to face its enemies by focusing its mental energies. Its fighting style can be summed up in a single word: heartless.,Aura Pok̩mon,0.875,0.125,Riolu,Field,Human-Like
915,460,Abomasnow,Abomasnow (Mega Abomasnow),Grass,Ice,Snow Warning,,,90,132,105,132,105,30,594,407.9 lbs.,"8'10""",,,Frost Tree Pok̩mon,0.5,0.5,Snover,Monster,Grass
916,475,Gallade,Gallade (Mega Gallade),Psychic,Fighting,Inner Focus,,,68,165,95,65,115,110,618,124.3 lbs.,"5'03""",,,Blade Pok̩mon,1,0,Kirlia,Amorphous,
917,479,Rotom,Rotom (Heat Rotom),Electric,Fire,Levitate,,,50,65,107,105,107,86,520,0.7 lbs.,"1'00""",,,Plasma Pok̩mon,,,,Amorphous,
918,479,Rotom,Rotom (Wash Rotom),Electric,Water,Levitate,,,50,65,107,105,107,86,520,0.7 lbs.,"1'00""",,,Plasma Pok̩mon,,,,Amorphous,
919,479,Rotom,Rotom (Frost Rotom),Electric,Ice,Levitate,,,50,65,107,105,107,86,520,0.7 lbs.,"1'00""",,,Plasma Pok̩mon,,,,Amorphous,
920,479,Rotom,Rotom (Fan Rotom),Electric,Flying,Levitate,,,50,65,107,105,107,86,520,0.7 lbs.,"1'00""",,,Plasma Pok̩mon,,,,Amorphous,
921,479,Rotom,Rotom (Mow Rotom),Electric,Grass,Levitate,,,50,65,107,105,107,86,520,0.7 lbs.,"1'00""",,,Plasma Pok̩mon,,,,Amorphous,
922,487,Giratina,Giratina (Origin Forme),Ghost,Dragon,Levitate,,,150,120,100,120,100,90,680,1433.0 lbs.,"22'08""",,,Renegade Pok̩mon,,,,Undiscovered,
923,492,Shaymin,Shaymin (Sky Forme),Grass,Flying,Serene Grace,,,100,103,75,120,75,127,600,11.5 lbs.,"1'04""",,,Gratitude Pok̩mon,,,,Undiscovered,
924,493,Arceus,Arceus (Fighting),Fighting,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
925,493,Arceus,Arceus (Flying),Flying,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
926,493,Arceus,Arceus (Poison),Poison,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
927,493,Arceus,Arceus (Ground),Ground,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
928,493,Arceus,Arceus (Rock),Rock,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
929,493,Arceus,Arceus (Bug),Bug,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
930,493,Arceus,Arceus (Ghost),Ghost,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
931,493,Arceus,Arceus (Steel),Steel,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
932,493,Arceus,Arceus (Fire),Fire,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
933,493,Arceus,Arceus (Water),Water,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
934,493,Arceus,Arceus (Grass),Grass,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
935,493,Arceus,Arceus (Electric),Electric,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
936,493,Arceus,Arceus (Psychic),Psychic,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
937,493,Arceus,Arceus (Ice),Ice,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
938,493,Arceus,Arceus (Dragon),Dragon,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
939,493,Arceus,Arceus (Dark),Dark,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
940,493,Arceus,Arceus (Fairy),Fairy,,Multitype,,,120,120,120,120,120,120,720,705.5 lbs.,"10'06""",,,Alpha Pok̩mon,,,,Undiscovered,
941,531,Audino,Audino (Mega Audino),Normal,Fairy,Healer,,,103,60,126,80,126,50,545,70.5 lbs.,"4'11""",,,Hearing Pok̩mon,0.5,0.5,,Fairy,
942,550,Basculin,Basculin (Blue-Striped Form),Water,,Rock Head,Adaptability,Mold Breaker,70,92,65,80,55,98,460,39.7 lbs.,"3'03""",,,Hostile Pok̩mon,0.5,0.5,,Water 2,
943,555,Darmanitan,Darmanitan (Zen Mode),Fire,Psychic,Zen Mode,,,105,30,105,140,105,55,540,204.8 lbs.,"4'03""",,,Blazing Pok̩mon,0.5,0.5,Darumaka,Field,
944,585,Deerling,Deerling (Summer Form),Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,60,60,50,40,50,75,335,43.0 lbs.,"2'00""",,,Season Pok̩mon,0.5,0.5,,Field,
945,585,Deerling,Deerling (Autumn Form),Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,60,60,50,40,50,75,335,43.0 lbs.,"2'00""",,,Season Pok̩mon,0.5,0.5,,Field,
946,585,Deerling,Deerling (Winter Form),Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,60,60,50,40,50,75,335,43.0 lbs.,"2'00""",,,Season Pok̩mon,0.5,0.5,,Field,
947,586,Sawsbuck,Sawsbuck (Summer Form),Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,80,100,70,60,70,95,475,203.9 lbs.,"6'03""",,,Season Pok̩mon,0.5,0.5,Deerling,Field,
948,586,Sawsbuck,Sawsbuck (Autumn Form),Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,80,100,70,60,70,95,475,203.9 lbs.,"6'03""",,,Season Pok̩mon,0.5,0.5,Deerling,Field,
949,586,Sawsbuck,Sawsbuck (Winter Form),Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,80,100,70,60,70,95,475,203.9 lbs.,"6'03""",,,Season Pok̩mon,0.5,0.5,Deerling,Field,
950,641,Tornadus,Tornadus (Therian Forme),Flying,,Regenerator,,,79,100,80,110,90,121,580,138.9 lbs.,"4'07""",,,Cyclone Pok̩mon,1,0,,Undiscovered,
